,Tampa,Brandon,Clearwater,Wesley Chapel,Clearwater Beach,Spring Hill,Safety Harbor,Dunedin,Palm Harbor,Riverview,Pinellas Park,Largo,Oldsmar,Indian Rocks Beach,Tarpon Springs
2006,3.87,3.04,3.87,3.5,3.86,5.0,3.5,3.5,3.74,1.0,5.0,2.3,3.0,4.62,3.38
2007,3.92,3.31,3.94,4.0,4.03,4.0,4.5,4.5,3.67,5.0,5.0,4.0,4.17,4.5,3.5
2008,3.77,3.68,3.87,3.7,3.79,3.0,3.86,4.44,3.45,3.75,3.5,3.83,3.35,4.41,3.93
2009,3.71,3.36,3.7,3.9,3.47,3.69,3.35,3.72,3.87,3.76,3.78,3.8,3.1,4.13,3.6
2010,3.73,3.63,3.61,3.52,3.45,4.03,3.22,3.85,3.84,3.43,3.85,3.71,3.88,3.71,3.82
2011,3.64,3.53,3.74,3.36,3.38,3.77,3.57,4.01,3.81,3.86,3.7,3.91,3.57,3.61,3.77
2012,3.64,3.65,3.7,3.4,3.45,3.77,3.58,3.57,3.69,3.58,3.6,3.64,3.52,3.68,3.95
2013,3.66,3.55,3.7,3.29,3.56,3.85,3.88,3.65,3.64,3.79,3.59,3.71,3.51,3.59,3.66
2014,3.66,3.66,3.71,3.44,3.45,3.97,3.6,3.71,3.74,3.57,3.69,3.86,3.54,3.74,3.77
2015,3.72,3.65,3.78,3.49,3.6,3.59,3.96,3.78,3.79,3.68,3.7,3.75,3.7,3.85,3.98
2016,3.73,3.79,3.76,3.62,3.54,3.56,3.99,3.91,3.82,3.66,3.81,3.8,3.89,3.7,4.01
2017,3.77,3.85,3.91,3.52,3.55,3.76,3.94,3.81,3.77,3.69,3.88,3.81,3.86,3.83,3.88
2018,3.84,3.68,3.87,3.63,3.72,3.65,3.95,3.98,3.8,3.85,3.7,3.86,3.95,3.87,3.92
2019,3.87,3.9,3.94,3.69,3.9,3.81,4.02,4.07,3.78,3.72,3.95,3.86,3.84,4.01,3.65
2020,3.95,3.84,3.98,3.8,3.89,3.83,4.02,4.1,3.85,3.7,3.95,3.96,3.79,3.88,4.08
2021,3.82,3.88,3.84,3.55,3.8,3.47,4.02,4.03,3.69,3.6,3.85,3.68,3.65,3.9,4.03
2022,3.82,3.88,3.81,3.99,3.64,3.77,4.24,4.3,3.94,3.94,4.06,3.78,4.0,3.96,3.88
2024,3.99,4.05,4.4,3.85,3.4,3.65,4.5,4.32,4.13,3.7,4.27,4.07,4.2,4.4,3.9
