id_centros_tiendas_negocio,centros_tiendas_negocio
7QEI2,charlies market
SMOFQ,cvs pharmacy
JQF9B,circle k
RCZPZ,ashley homestore
079A6,a modern line
4IQD2,shortys breakfast  gourmet deli
C3G87,jerrys drive thru
TCWPK,kanes furniture
UWIMH,7eleven
WY5DM,annex
MFSFI,lucky 7 foods
410IC,bed pros mattress
I2FM4,big lots
59WVI,target
RPDY0,restoration hardware
JCMKJ,kimberly home thrift shoppe
RRBTO,sees candies seasonal location
L00OE,rally
Y0WB7,godiva chocolatier
4BA57,badcock home furniture more
QHFM3,ruby upholstery  design
4EY3V,mis en chic
X2PIB,walgreens
V0KMY,keystone korner
1QFYF,rally stores
DKJ7B,american signature furniture
ILE2M,wawa
FLGK4,sunrise food market
OQ1A9,southern transit repair
E4ZB8,leaders casual furniture
A7MO9,pistachios antiques  collectibles
ORPKM,sleep number
B4AHA,speedway
2N3MN,agora
EG5LA,casa community thrift shop
2WV9H,raceway 980
DVVTF,florida leather gallery
IHVTI,out of the closet  st petersburg
ZJ2KI,racetrac
1BDKJ,the bungaleaux on central
EHC9T,canes cafe and corner store
GEONN,bronze lady home furnishings
NYDE9,the missing piece  clearwater
8YQ33,starboard home
GXA4E,dodges
8S92O,mattress firm carrollwood
MVXR4,miss merries sweets  treats
MJRS7,el dorado  st petersburg
UN39E,thorntons
4CHKC,pier 1
P42X8,grate grills more
3FK7E,lazboy furniture galleries
AFJB2,mad hatter general store
GMYWL,west elm
IOVAC,el milagro mexican store
ICUDD,carolina factory outlet
BYH8U,world market
7DC52,rooms to go
Y973E,mattress firm lighthouse crossings
ZT0PT,z gallerie
RD65D,macys furniture gallery
35E1Q,bottle rack
O75BE,house of sweets
6ARVI,racetrac petroleum
JONI6,lutz fuel tailgate mart
0SLLL,tan phat oriental market
ETAON,ohhh so nifty
OIRW6,degaje local market
Q122Y,edible arrangements
ZIFFP,knot on main street
RRPYF,homegoods
GOQ4G,bay pines furniture
Z1FXZ,marketplace express
QYHWF,digby mini market  restaurant
JR5TQ,rooms to go kids
7YZD5,mattress firm pinellas park
7735C,cotton candy palace
4YPCO,freedmans office furniture
EDDDZ,the village market
GC0CS,ideal food and fuel
JG0U4,subway
34RI8,barewood outlet
XTT1E,scan design  tampa
TDJXZ,price rite food mart
VOSVB,mattress firm seminole city center
URF16,citgo
YKFH1,mattress firm clearance center brandon town center
2N6KH,ballard designs
3ZA9O,mattress firm gandy shoppes
R7AX1,sprinkles ice cream shop
B53L0,pottery barn
YRDA7,cushion solutions
THKVI,mattress firm  st petersburg
X2RZH,sunoco gulfport
MCKPB,house to home
UHUDJ,american freight furniture and mattress
2U2WN,summer house marketplace
QBZBK,mobil mart  lube express
1PYH7,patio land usa
FROYY,cherokee store
J60YU,mattress firm midway
77NK5,crate  barrel
64U99,consignment furniture showroom
FB5JW,fifis fine resale apparel
3LX99,bait bucket
LH99V,ab salon equipment
0ZUXY,havertys furniture
R6DQ5,minuteclinic
J76ER,tampa bay interiors
83YKE,candy barrel
S8UTV,design furniture outlet  consignment
S02XF,tootsies sugar shop
P140Y,deja vu consignment furniture
4M5ZZ,bella home market
FTY3U,at home
OPY43,first choice food  deli
3G8PZ,mattress firm tampa
GNDMV,pauls deli
QS6QO,hudsons furniture
ZAUF8,paper street market
CHME3,tubular tokes
380PZ,matter brothers furniture
HBYUF,ta travel center
GQLU6,white owl market
6LE55,mattress firm midtown
EM23U,bulls discount beverage
411GP,old southeast market
S1TOU,lights and more
WOWRS,bmc mattress tampa
7V3QM,the warehouse ii
15X45,mattress firm clearwaterpalm harbor
2KUWE,marathon
3W0HU,mattress firm clearance center largo mall
QSZYY,dollar to go plus
91NG1,consignment house
D5LL8,chesters discount appliance
TISJD,rocket fizz
X2BUI,boba  berry
7V0OQ,andrea lauren elegant interiors
3C7FT,asian market  cuisine
DP01F,quick nicks
K61BA,pottery barn kids
L6YEJ,modern relics
05IF4,mighty mattress
9MYMI,mobil
9HDLA,treehouse gallery
MWTYY,tampa convention center
X0KKU,winn dixie
U0C3O,sears outlet
RHDGM,the sugar shack
XG6QQ,four monkeys candy connection
ZIJBM,rh tampa  the gallery at international plaza
DJ4V7,mattress firm pinellas rtg
8KW85,mattress firm 4th street south
6MM1F,mattress firm riverview
JTTHS,the iron pelican antiques  home decor
UZGMS,nadeau  furniture with a soul
TQ7DG,beef jerky outlet
H5HLB,coastal market 607
I5H4T,louis wohl  son
H6CUT,land o lakes bp
Y7MEC,sugar factory
ZY4DL,home goods
PRC16,the mercantile
O27MK,mattress firm clearance center riverview
PNHSA,mattress firm north dale mabry clearance center
04GIN,bed bath  beyond
M7FSP,desserts by toffee to go
0X0QF,zazood
JWP0G,rooms to go furniture store  pinellas park
PMO0X,bulk nation
NGTP1,sandy bottom boutique
I3M2G,charlies st joe market
7ZOFH,sweets and treats
PQF2L,the market at harbour place
0IZNJ,hotel liquidation warehouse
MXAMG,lawn detectives
D98I4,picker place vintage market
5NCQT,zenos boardwalk sweet shop
I9HCG,the missing piece
PE93P,palm casual patio furniture
5QBRU,bulk food superstore
UHRDL,old time pottery
451L0,mattress firm richey
9WEH9,exxon
LIVST,mattress firm countryside
8B4VL,livingstons furniture
OZ9IT,triage consignment boutique
6O5JY,teak furnishings florida
U02AG,dylans candy bar
KA4EC,roasted
THC39,schakolad chocolate factory
NZHNO,bali bay trading co
NEVWD,the candy kitchen
H9828,bayshore breeze
64WHI,highland park furniture  mattress outlet
ZXTVC,kilwins
HUUN1,mattress firm largo
0NEYM,florida drive in
M03KN,tampas chocolates by michelle
3SJ9T,island market
F4NXD,joyces mini market  deli
UEB8V,urban bungalow
KFVUE,the room exchange
41GRR,the sweet spot
J8D8M,coffee beanery
K5HSU,katinas mini market
EW0NA,mattress firm gunn highway
YVGIZ,alqassam supermarket
WO76I,mattress firm clearance center west brandon blvd
9SS9K,schillers architectural and design salvage
15FRW,rent king
7EQ2R,nebraska mini mart
K7OW9,lena maxey
4U2YL,flying j travel center
UQ78P,payless furniture
AWU8X,berghoff
CSIVM,antiques  uniques in ozona
U399N,dma home furnishings
RZPPF,lu lus ice cream shop
TS01V,milagros
75G75,furniture distribution center
IUOU5,sunoco
6OXVS,island liquor
O5VK1,mattress firm westchase
5LUW7,waterside furnishings
TI39E,abc fine wine and spirits
5KYF5,patio casual
27MOY,rooms to gobrandon
5FCJ1,ashley furniture warehouse
P95IN,metals and nature
XUX0E,antiques and uniques
0105C,the furniture guys
T29MN,hidden treasures thrift shop
79Z1H,habitat restore of pinellas county
DACNQ,coco frio fresh produce
Q1GWM,oakhurst rally shell
9T5L3,brick street farms
A0U1W,uppys convenient store
VEO60,just grillin outdoor living
NYXOL,the container store
3NJPK,southern hospitality
2TMRG,chocolates by michelle
6QYZV,ikea
IVS92,super scoops
3OCT8,one amazing find
4K0OZ,wild bills appliance  furniture
KV5K3,rainbow food mart
POEHF,london pride
F2161,badcock home furnishings center
WR025,the swag on central
4R7WG,anthropologie
2UV6B,busters antiques
P47UO,blue moon trading company
3QIC9,27mart
G8KZZ,clearwater bait  tackle
FD7IZ,airport variety store
ATNYG,mattress firm crossroads
0UGV3,bayway country store and butcher shop
C3V6X,sweetes gourmet popcorn
KB2TF,euro elegance furniture
T7DIU,ybor metro market
QNOAA,matter bros furniture
K2AU1,tienda mexicana el mercadito
6B9CN,petes general
3BKQT,tampa furniture outlet
X1Z43,mr furniture
DL5NQ,dwell home market
JCRCX,emmies corner
TZK6U,rocket fizz  soda pop and candy shop
C7ZXD,mattress firm county line commons
XUSPE,delectable delights
23PG4,mattress firm wesley chapel
6R4TW,mattress and furniture super center
5BDBT,badcock home furniture  more
EZYFS,second time treasures
283HJ,macys furniture gallery  tampa
0HYFU,patio showcase
47Z17,five below
7B336,tailgate mart
5D9YI,marcottes design
4N5T9,new 4 you fine consignment
CSRE3,mattress firm new tampa iii
XW42P,mattress firm new tampa
UJ2L4,rocky point market
U1Z6O,cort furniture outlet
7TESD,mattress firm clearwater
6K2KZ,hudson square furniture
6QJ80,kikis kreamery
